date,deathIncrease,hospitalizedIncrease,positiveIncrease,,,,,,,,,,,,,,,,,,,,
20201202,2811,5238,203429,,,,,,,,,,,,,,,,,,,,
20201201,2489,4916,181183,,,,,,,,,,,,,,,,,,,,
20201130,1037,3394,150031,,,,,,,,,,,,,,,,,,,,
20201129,825,2429,137254,,,,,,,,,,,,,,,,,,,,
20201128,1243,3485,151469,,,,,,,,,,,,,,,,,,,,
20201127,1404,3418,198874,,,,,,,,,,,,,,,,,,,,
20201126,1392,2333,129764,,,,,,,,,,,,,,,,,,,,
20201125,2281,4538,188496,,,,,,,,,,,,,,,,,,,,
20201124,2091,4685,166503,,,,,,,,,,,,,,,,,,,,
20201123,853,2835,154696,,,,,,,,,,,,,,,,,,,,
20201122,923,2291,154188,,,,,,,,,,,,,,,,,,,,
20201121,1551,3375,186385,,,,,,,,,,,,,,,,,,,,
20201120,1910,3903,197164,,,,,,,,,,,,,,,,,,,,
20201119,2010,4456,187932,,,,,,,,,,,,,,,,,,,,
20201118,1885,4352,168220,,,,,,,,,,,,,,,,,,,,
20201117,1553,3887,159826,,,,,,,,,,,,,,,,,,,,
20201116,607,2907,149977,,,,,,,,,,,,,,,,,,,,
20201115,712,1868,147062,,,,,,,,,,,,,,,,,,,,
20201114,1353,3468,167726,,,,,,,,,,,,,,,,,,,,
20201113,1301,3673,174633,,,,,,,,,,,,,,,,,,,,
20201112,1112,3562,157542,,,,,,,,,,,,,,,,,,,,
20201111,1577,3281,149333,,,,,,,,,,,,,,,,,,,,
20201110,1358,4070,135569,,,,,,,,,,,,,,,,,,,,
20201109,577,2176,118403,,,,,,,,,,,,,,,,,,,,
20201108,513,1467,112445,,,,,,,,,,,,,,,,,,,,
20201107,1125,2341,132113,,,,,,,,,,,,,,,,,,,,
20201106,1185,3121,129990,,,,,,,,,,,,,,,,,,,,
20201105,1154,2553,119023,,,,,,,,,,,,,,,,,,,,
20201104,1131,3107,105996,,,,,,,,,,,,,,,,,,,,
20201103,1517,3135,119949,,,,,,,,,,,,,,,,,,,,
20201102,475,1399,83454,,,,,,,,,,,,,,,,,,,,
20201101,410,1166,141974,,,,,,,,,,,,,,,,,,,,
20201031,958,2116,91293,,,,,,,,,,,,,,,,,,,,
20201030,947,2403,97942,,,,,,,,,,,,,,,,,,,,
20201029,1060,2321,89365,,,,,,,,,,,,,,,,,,,,
20201028,1047,2461,79700,,,,,,,,,,,,,,,,,,,,
20201027,922,2290,72255,,,,,,,,,,,,,,,,,,,,
20201026,397,1697,63430,,,,,,,,,,,,,,,,,,,,
20201025,391,1076,64471,,,,,,,,,,,,,,,,,,,,
20201024,896,1822,83792,,,,,,,,,,,,,,,,,,,,
20201023,949,2801,82575,,,,,,,,,,,,,,,,,,,,
20201022,1094,2229,72273,,,,,,,,,,,,,,,,,,,,
20201021,1051,2399,62856,,,,,,,,,,,,,,,,,,,,
20201020,833,2309,60574,,,,,,,,,,,,,,,,,,,,
20201019,443,1605,57650,,,,,,,,,,,,,,,,,,,,
20201018,405,813,47957,,,,,,,,,,,,,,,,,,,,
20201017,780,1546,57675,,,,,,,,,,,,,,,,,,,,
20201016,891,1866,68505,,,,,,,,,,,,,,,,,,,,
20201015,928,2010,63641,,,,,,,,,,,,,,,,,,,,
20201014,801,2437,57240,,,,,,,,,,,,,,,,,,,,
20201013,718,2058,46914,,,,,,,,,,,,,,,,,,,,
20201012,284,1104,43248,,,,,,,,,,,,,,,,,,,,
20201011,472,983,46723,,,,,,,,,,,,,,,,,,,,
20201010,690,1485,57543,,,,,,,,,,,,,,,,,,,,
20201009,914,1736,57085,,,,,,,,,,,,,,,,,,,,
20201008,979,2134,55308,,,,,,,,,,,,,,,,,,,,
20201007,929,2138,51216,,,,,,,,,,,,,,,,,,,,
20201006,613,-752,38846,,,,,,,,,,,,,,,,,,,,
20201005,331,1447,37752,,,,,,,,,,,,,,,,,,,,
20201004,380,663,38165,,,,,,,,,,,,,,,,,,,,
20201003,738,1088,50874,,,,,,,,,,,,,,,,,,,,
20201002,842,1443,49427,,,,,,,,,,,,,,,,,,,,
20201001,862,1757,45720,,,,,,,,,,,,,,,,,,,,
20200930,1064,1618,44909,,,,,,,,,,,,,,,,,,,,
20200929,724,1673,36766,,,,,,,,,,,,,,,,,,,,
20200928,246,1181,35376,,,,,,,,,,,,,,,,,,,,
20200927,310,613,34990,,,,,,,,,,,,,,,,,,,,
20200926,873,1214,47227,,,,,,,,,,,,,,,,,,,,
20200925,847,1333,55278,,,,,,,,,,,,,,,,,,,,
20200924,938,1484,43341,,,,,,,,,,,,,,,,,,,,
20200923,1156,1454,39498,,,,,,,,,,,,,,,,,,,,
20200922,859,1534,48986,,,,,,,,,,,,,,,,,,,,
20200921,281,1064,39162,,,,,,,,,,,,,,,,,,,,
20200920,327,525,35533,,,,,,,,,,,,,,,,,,,,
20200919,747,1051,45668,,,,,,,,,,,,,,,,,,,,
20200918,901,1423,46889,,,,,,,,,,,,,,,,,,,,
20200917,880,1549,43642,,,,,,,,,,,,,,,,,,,,
20200916,1190,1461,40319,,,,,,,,,,,,,,,,,,,,
20200915,1034,1484,34778,,,,,,,,,,,,,,,,,,,,
20200914,407,912,33572,,,,,,,,,,,,,,,,,,,,
20200913,392,545,34579,,,,,,,,,,,,,,,,,,,,
20200912,817,1145,41850,,,,,,,,,,,,,,,,,,,,
20200911,1015,1510,44698,,,,,,,,,,,,,,,,,,,,
20200910,1161,1497,37386,,,,,,,,,,,,,,,,,,,,
20200909,1088,1918,30756,,,,,,,,,,,,,,,,,,,,
20200908,347,987,22310,,,,,,,,,,,,,,,,,,,,
20200907,227,474,28117,,,,,,,,,,,,,,,,,,,,
20200906,452,499,33033,,,,,,,,,,,,,,,,,,,,
20200905,926,1173,44860,,,,,,,,,,,,,,,,,,,,
20200904,999,1249,51600,,,,,,,,,,,,,,,,,,,,
20200903,1072,1488,44631,,,,,,,,,,,,,,,,,,,,
20200902,1035,1521,30667,,,,,,,,,,,,,,,,,,,,
20200901,1014,1867,42242,,,,,,,,,,,,,,,,,,,,
20200831,380,710,31720,,,,,,,,,,,,,,,,,,,,
20200830,477,662,38766,,,,,,,,,,,,,,,,,,,,
20200829,1017,1299,43995,,,,,,,,,,,,,,,,,,,,
20200828,1020,1642,46115,,,,,,,,,,,,,,,,,,,,
20200827,1128,1654,44111,,,,,,,,,,,,,,,,,,,,
20200826,1300,1804,44331,,,,,,,,,,,,,,,,,,,,
20200825,1140,1988,36839,,,,,,,,,,,,,,,,,,,,
20200824,341,1031,34543,,,,,,,,,,,,,,,,,,,,
20200823,577,698,37900,,,,,,,,,,,,,,,,,,,,
20200822,1035,1604,46033,,,,,,,,,,,,,,,,,,,,
20200821,1119,1782,46477,,,,,,,,,,,,,,,,,,,,
20200820,1129,1983,43844,,,,,,,,,,,,,,,,,,,,
20200819,1411,1983,45073,,,,,,,,,,,,,,,,,,,,
20200818,1179,2261,40070,,,,,,,,,,,,,,,,,,,,
20200817,411,1224,37751,,,,,,,,,,,,,,,,,,,,
20200816,617,685,42503,,,,,,,,,,,,,,,,,,,,
