date,positive,death
20200521,1579601,91228
20200520,1552850,89847
20200519,1531479,88452
20200518,1510779,87125
20200517,1490166,86272
20200516,1469782,85410
20200515,1445947,84161
20200514,1420540,82624
20200513,1393744,80778
20200512,1372263,79049
20200511,1349742,77531
20200510,1331662,76642
20200509,1310550,75615
20200508,1285270,74156
20200507,1258072,72368
20200506,1230844,69636
20200505,1205532,67705
20200504,1183140,65209
20200503,1161034,64226
20200502,1135275,62979
20200501,1106124,61458
20200430,1073244,59646
20200429,1043181,57493
20200428,1017002,54804
20200427,991770,52726
20200426,969366,51452
20200425,942042,50240
20200424,901345,48606
20200423,870128,46633
20200422,838190,44827
20200421,808917,42677
20200420,781563,40199
20200419,757187,38385
20200418,730257,36620
20200417,702684,34724
20200416,671184,32608
20200415,639918,30412
20200414,610084,27871
20200413,584141,25515
20200412,560005,23885
20200411,531837,22187
20200410,500514,20108
20200409,466736,18027
20200408,431744,15973
20200407,400780,13974
20200406,370364,11932
20200405,342104,10618
20200404,316261,9278
20200403,283139,7800
20200402,251304,6512
20200401,223169,5337
20200331,196965,4331
20200330,171965,3422
20200329,150826,2838
20200328,131143,2332
20200327,111358,1782
20200326,92143,1371
20200325,74551,1058
20200324,61894,817
20200323,50998,582
20200322,39808,480
20200321,30580,335
20200320,23640,273
20200319,17540,203
20200318,12934,152
20200317,9577,126
20200316,7449,102
20200315,5738,80
20200314,4476,65
20200313,3450,57
20200312,2592,52
20200311,1915,43
20200310,1497,37
20200309,1061,35
20200308,757,31
20200307,587,27
20200306,445,26
20200305,307,20
20200304,242,16
20200303,114,14
20200302,72,11
20200301,42,8
20200229,18,5
20200228,15,4
20200227,13,2
20200226,12,2
20200225,10,0
20200224,9,0
20200223,8,0
20200222,7,0
20200221,7,0
20200220,7,0
20200219,7,0
20200218,7,0
20200217,7,0
20200216,7,0
20200215,7,0
20200214,7,0
20200213,6,0
20200212,5,0
20200211,5,0
20200210,5,0
20200209,5,
20200208,5,
20200207,5,
20200206,5,
20200205,3,
20200204,3,
20200203,3,
20200202,2,
20200201,2,
20200131,2,
20200130,2,
20200129,2,
20200128,2,
20200127,2,
20200126,2,
20200125,2,
20200124,2,
20200123,2,
20200122,2,
20200121,2,
20200120,1,
20200119,1,
20200118,0,
20200117,0,
20200116,0,
20200115,0,
20200114,0,
20200113,,
